date,confirmed,deaths
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,1,0
2020-01-28,4,0
2020-01-29,4,0
2020-01-30,4,0
2020-01-31,5,0
2020-02-01,8,0
2020-02-02,10,0
2020-02-03,12,0
2020-02-04,12,0
2020-02-05,12,0
2020-02-06,12,0
2020-02-07,13,0
2020-02-08,13,0
2020-02-09,14,0
2020-02-10,14,0
2020-02-11,16,0
2020-02-12,16,0
2020-02-13,16,0
2020-02-14,16,0
2020-02-15,16,0
2020-02-16,16,0
2020-02-17,16,0
2020-02-18,16,0
2020-02-19,16,0
2020-02-20,16,0
2020-02-21,16,0
2020-02-22,16,0
2020-02-23,16,0
2020-02-24,16,0
2020-02-25,17,0
2020-02-26,27,0
2020-02-27,46,0
2020-02-28,48,0
2020-02-29,79,0
2020-03-01,130,0
2020-03-02,159,0
2020-03-03,196,0
2020-03-04,262,0
2020-03-05,482,0
2020-03-06,670,0
2020-03-07,799,0
2020-03-08,1040,0
2020-03-09,1176,2
2020-03-10,1457,2
2020-03-11,1908,3
2020-03-12,2078,3
2020-03-13,3675,7
2020-03-14,4585,9
2020-03-15,5795,11
2020-03-16,7272,17
2020-03-17,9257,24
2020-03-18,12327,28
2020-03-19,15320,44
2020-03-20,19848,67
2020-03-21,22213,84
2020-03-22,24873,94
2020-03-23,29056,123
2020-03-24,32986,157
2020-03-25,37323,206
